Student_ID,Name,Gender,City,Course,Subject,Marks,Attendance (%),Study_Hours,Semester,Target
1,Student_1,Male,Kolkata,BBA,English,,77,3.9,6,1
2,Student_2,Female,Mumbai,BTech,English,,99,1.3,3,2
3,Student_3,Male,Mumbai,BBA,Maths,,92,5.2,2,3
4,Student_4,Male,Mumbai,BCom,Computer,,71,1.9,4,4
5,Student_5,Male,Bangalore,BSc,Economics,,67,4.6,2,5
6,Student_6,Female,Chennai,BTech,Maths,,83,4.9,6,6
7,Student_7,Male,Bangalore,BCom,Maths,,75,4.6,5,7
8,Student_8,Male,Chennai,BCom,Computer,,63,3.9,1,8
9,Student_9,Male,Bangalore,BTech,Computer,,97,1.1,3,9
10,Student_10,Female,Bangalore,BBA,English,,86,2.8,5,10
11,Student_11,Male,Kolkata,BCom,Computer,,68,4,4,11
12,Student_12,Male,Delhi,BA,English,,75,2.9,5,12
13,Student_13,Male,Bangalore,BCom,Maths,,71,5.3,5,13
14,Student_14,Male,Kolkata,BBA,Science,,90,2.5,4,14
15,Student_15,Female,Pune,BBA,Economics,,83,2.5,5,15
16,Student_16,Male,Delhi,BA,Maths,99,73,2.3,3,16
17,Student_17,Female,Bangalore,BCom,Computer,83,84,2.7,6,17
18,Student_18,Female,Mumbai,BBA,Economics,,93,3.8,2,18
19,Student_19,Female,Pune,BTech,Science,,62,4.5,5,19
20,Student_20,Male,Pune,BSc,Science,,83,4.3,3,20
21,Student_21,Female,Kolkata,BSc,English,94,68,5,2,21
22,Student_22,Male,Pune,BSc,Economics,,85,5.4,2,22
23,Student_23,Female,Delhi,BCom,English,,79,5.1,5,23
24,Student_24,Female,Bangalore,BA,Maths,65,99,1.1,3,24
25,Student_25,Female,Bangalore,BBA,Economics,80,69,4.7,6,25
26,Student_26,Female,Mumbai,BTech,Maths,,78,2,5,26
27,Student_27,Female,Kolkata,BTech,English,39,62,1.7,4,27
28,Student_28,Female,Mumbai,BCom,Economics,,83,4.2,2,28
29,Student_29,Female,Pune,BSc,English,,64,2.6,5,29
30,Student_30,Female,Mumbai,BCom,Economics,67,62,1.3,2,30
31,Student_31,Male,Delhi,BA,English,,86,1.7,3,31
32,Student_32,Male,Bangalore,BA,Science,72,75,1,1,32
33,Student_33,Female,Pune,BBA,English,61,74,5.5,5,33
34,Student_34,Female,Mumbai,BBA,Science,49,94,1.1,6,34
35,Student_35,Female,Kolkata,BA,English,95,71,2,5,35
36,Student_36,Male,Delhi,BA,Economics,55,85,3.1,2,36
37,Student_37,Female,Delhi,BA,Economics,80,93,2.8,3,37
38,Student_38,Male,Mumbai,BCom,Economics,40,82,5.6,4,38
39,Student_39,Male,Bangalore,BA,Computer,72,90,1.2,6,39
40,Student_40,Male,Mumbai,BTech,Maths,96,79,3.6,3,40
41,Student_41,Male,Pune,BSc,Economics,96,71,4.4,5,41
42,Student_42,Male,Mumbai,BA,Science,80,82,5.7,4,42
43,Student_43,Female,Delhi,BSc,Economics,47,63,4.1,3,43
